id,sex,birthdate,Year of birth,Age,user_name,instagram_number_of_posts,instagram_number_of_followers,instagram_average_number_of_comments,instagram_average_number_of_reactions,instagram_average_engagement,instagram_average_engagement_rate
13018,female,22/10/2000,2000,17,insta_13018,29,617,"5,75862069","95,4137931","101,1724138","0,1639747387"
14300,female,18/07/2000,2000,17,insta_14300,97,651,"6,556701031","70,78350515","77,34020619","0,11880216"
14117,female,27/11/2000,2000,17,insta_14117,26,660,"2,615384615","124,9615385","127,5769231","0,1932983683"
14311,female,27/07/2000,2000,17,insta_14311,1,697,0,14,14,"0,02008608321"
16195,female,05/07/2000,2000,17,insta_16195,30,700,"14,46666667","103,1","117,5666667","0,167952381"
13878,female,15/12/2000,2000,17,insta_13878,100,718,"7,2","118,11","125,31","0,1745264624"
13688,female,13/10/2000,2000,17,insta_13688,80,757,"3,1625","128,0375","131,2","0,1733157199"
13002,female,08/12/2000,2000,17,insta_13002,10,758,"15,5",212,"227,5","0,3001319261"
16007,female,24/07/2000,2000,17,insta_16007,10,770,"5,9","90,5","96,4","0,1251948052"
14108,male,12/08/2000,2000,17,insta_14108,100,776,"2,61","65,29","67,9","0,0875"
15544,female,24/11/2000,2000,17,insta_15544,14,801,"8,357142857","112,1428571","120,5","0,1504369538"
13047,female,04/12/2000,2000,17,insta_13047,65,821,"10,92307692","105,2461538","116,1692308","0,141497236"
13846,female,14/12/2000,2000,17,insta_13846,14,827,"2,428571429","83,07142857","85,5","0,1033857316"
14492,female,06/10/2000,2000,17,insta_14492,40,950,"6,625","169,6","176,225","0,1855"
14919,female,16/08/2000,2000,17,insta_14919,9,969,0,"19,77777778","19,77777778","0,02041050338"
14289,female,01/08/2000,2000,17,insta_14289,61,970,"1,442622951","149,8688525","151,3114754","0,1559912118"
3927,female,09/07/2000,2000,17,insta_3927,15,1005,"12,46666667","181,6666667","194,1333333","0,1931674959"
15242,female,14/12/2000,2000,17,insta_15242,68,1005,"5,544117647","136,7647059","142,3088235","0,1416008194"
14034,female,13/10/2000,2000,17,insta_14034,81,1016,"3,395061728","77,17283951","80,56790123","0,07929911539"
13468,male,17/06/2000,2000,17,insta_13468,7,1033,"8,285714286","129,8571429","138,1428571","0,1337297746"
14168,female,11/10/2000,2000,17,insta_14168,1,1045,2,29,31,"0,02966507177"
15566,female,11/09/2000,2000,17,insta_15566,23,1053,"0,7391304348","163,826087","164,5652174","0,1562822577"
14875,male,10/12/2000,2000,17,insta_14875,10,1056,"17,2","290,4","307,6","0,2912878788"
15671,female,15/07/2000,2000,17,insta_15671,60,1056,"3,216666667","64,15","67,36666667","0,06379419192"
15187,male,24/07/2000,2000,17,insta_15187,33,1082,"2,848484848","218,4545455","221,3030303","0,2045314513"
13781,female,09/11/2000,2000,17,insta_13781,5,1088,"1,6","88,4",90,"0,08272058824"
15401,male,19/12/2000,2000,17,insta_15401,16,1096,"0,75","10,6875","11,4375","0,01043567518"
13412,female,03/08/2000,2000,17,insta_13412,8,1101,15,"135,625","150,625","0,1368074478"
13344,female,12/07/2000,2000,17,insta_13344,6,1115,"14,16666667","241,3333333","255,5","0,2291479821"
14014,male,12/06/2000,2000,17,insta_14014,16,1169,"28,125","401,75","429,875","0,3677288281"
14035,male,10/06/2000,2000,17,insta_14035,12,1238,"3,666666667","69,33333333",73,"0,05896607431"
13364,male,17/09/2000,2000,17,insta_13364,15,1402,"5,133333333","267,0666667","272,2","0,1941512126"
13116,female,07/08/2000,2000,17,insta_13116,61,1427,"5,196721311","155,9016393","161,0983607","0,1128930348"
13746,female,21/06/2000,2000,17,insta_13746,100,1484,"5,75","30,81","36,56","0,0246361186"
13875,male,15/11/2000,2000,17,insta_13875,100,1538,"3,29","94,38","97,67","0,06350455137"
13793,female,05/12/2000,2000,17,insta_13793,25,1605,19,"213,48","232,48","0,144847352"
13203,female,06/07/2000,2000,17,insta_13203,88,1727,"4,352272727","265,2272727","269,5795455","0,1560970153"
15327,female,24/09/2000,2000,17,insta_15327,37,1776,"3,864864865","92,32432432","96,18918919","0,0541605795"
13659,female,21/07/2000,2000,17,insta_13659,33,2522,"25,27272727","344,9393939","370,2121212","0,1467930695"
8991,female,24/10/2000,2000,17,insta_8991,33,2723,"20,09090909","537,4848485","557,5757576","0,2047652433"
13960,female,02/09/2000,2000,17,insta_13960,28,2820,"10,92857143","395,6428571","406,5714286","0,1441742655"
14339,female,05/07/2000,2000,17,insta_14339,81,2844,15,"236,345679","251,345679","0,08837752427"
13677,female,10/10/2000,2000,17,insta_13677,8,3546,"42,125","696,875",739,"0,2084038353"
13530,female,12/07/2000,2000,17,insta_13530,100,3774,"10,96","283,59","294,55","0,07804716481"
13304,female,09/07/2000,2000,17,insta_13304,100,3826,"27,82","573,86","601,68","0,1572608468"
14298,male,25/10/2000,2000,17,insta_14298,100,4022,"4,24","145,18","149,42","0,03715067131"
13226,male,12/06/2000,2000,17,insta_13226,7,4225,"23,42857143",211,"234,4285714","0,05548605241"
13701,male,27/11/2000,2000,17,insta_13701,5,4225,"2,2","126,8",129,"0,03053254438"
15802,male,20/09/2000,2000,17,insta_15802,100,4742,"29,06","781,71","810,77","0,1709763813"
15173,female,08/07/2000,2000,17,insta_15173,13,4970,0,"317,6923077","317,6923077","0,0639219935"
14001,female,21/12/2000,2000,17,insta_14001,20,5092,2,"421,9","423,9","0,08324823252"
13341,female,15/06/2000,2000,17,insta_13341,100,5288,"6,11","194,49","200,6","0,03793494705"
13097,female,24/11/2000,2000,17,insta_13097,9,5597,"0,1111111111",245,"245,1111111","0,04379330197"
15582,female,14/09/2000,2000,17,insta_15582,100,6453,"0,49","235,84","236,33","0,036623276"
15647,female,15/11/2000,2000,17,insta_15647,100,7060,"1,77","474,13","475,9","0,06740793201"
14044,female,23/07/2000,2000,17,insta_14044,41,7716,"1,975609756","160,5609756","162,5365854","0,02106487628"
15315,male,17/06/2000,2000,17,insta_15315,18,8415,"3,666666667","484,2222222","487,8888889","0,05797847759"
15693,female,11/07/2000,2000,17,insta_15693,83,9901,"34,48192771","780,3975904","814,8795181","0,08230274902"
13112,female,01/09/2000,2000,17,insta_13112,15,10782,"2,466666667","256,5333333",259,"0,02402151734"
15949,female,03/08/2000,2000,17,insta_15949,12,10951,"1,25","1659,666667","1660,916667","0,1516680364"
16179,male,20/06/2000,2000,17,insta_16179,100,12532,"45,22","1258,82","1304,04","0,1040568146"
12996,female,10/07/2000,2000,17,insta_12996,100,13186,"2,72","262,58","265,3","0,02011982406"
13082,male,28/08/2000,2000,17,insta_13082,3,15042,"2,333333333",544,"546,3333333","0,03632052475"
12930,female,05/09/2000,2000,17,insta_12930,6,17818,"1,666666667","2411,833333","2413,5","0,1354529128"
13383,female,21/10/2000,2000,17,insta_13383,100,21659,"5,2","477,47","482,67","0,02228496237"
12997,female,28/08/2000,2000,17,insta_12997,100,22555,"25,64","1587,69","1613,33","0,0715287076"
15473,male,18/08/2000,2000,17,insta_15473,5,23086,"35,6",10962,"10997,6","0,4763752924"
13639,female,18/09/2000,2000,17,insta_13639,100,29486,"5,3","187,19","192,49","0,006528182866"
13168,male,18/09/2000,2000,17,insta_13168,100,31310,"13,74","1059,99","1073,73","0,03429351645"
7066,female,02/08/1999,1999,18,insta_7066,5,3,"0,2","11,8",12,4
7498,female,11/09/1999,1999,18,insta_7498,3,3,0,0,0,0
12247,male,31/07/1999,1999,18,insta_12247,1,3,0,0,0,0
4346,female,10/07/1999,1999,18,insta_4346,1,9,2,5,7,"0,7777777778"
6832,female,03/10/1999,1999,18,insta_6832,15,12,"0,2666666667","5,266666667","5,533333333","0,4611111111"
5643,male,19/08/1999,1999,18,insta_5643,17,16,"0,9411764706","30,47058824","31,41176471","1,963235294"
7155,female,05/11/1999,1999,18,insta_7155,1,19,0,3,3,"0,1578947368"
16005,male,28/03/2000,2000,18,insta_16005,1,20,0,5,5,"0,25"
8681,female,20/07/1999,1999,18,insta_8681,5,21,0,"8,4","8,4","0,4"
12730,female,10/08/1999,1999,18,insta_12730,1,25,0,4,4,"0,16"
13483,female,13/01/2000,2000,18,insta_13483,7,26,"0,1428571429","9,428571429","9,571428571","0,3681318681"
14525,female,14/12/1999,1999,18,insta_14525,5,34,0,"10,8","10,8","0,3176470588"
11263,female,29/08/1999,1999,18,insta_11263,18,36,"0,1111111111","11,55555556","11,66666667","0,3240740741"
8424,female,30/07/1999,1999,18,insta_8424,10,37,"3,6","33,1","36,7","0,9918918919"
2837,female,31/07/1999,1999,18,insta_2837,1,38,0,8,8,"0,2105263158"
15450,female,06/10/1999,1999,18,insta_15450,18,38,0,"3,444444444","3,444444444","0,09064327485"
1287,female,18/11/1999,1999,18,insta_1287,3,42,0,4,4,"0,09523809524"
1096,female,22/10/1999,1999,18,insta_1096,11,43,"0,2727272727","5,636363636","5,909090909","0,1374207188"
2859,female,28/11/1999,1999,18,insta_2859,2,44,0,"8,5","8,5","0,1931818182"
3792,female,17/09/1999,1999,18,insta_3792,1,44,0,2,2,"0,04545454545"
7720,female,01/10/1999,1999,18,insta_7720,4,47,0,"1,25","1,25","0,02659574468"
12612,female,10/09/1999,1999,18,insta_12612,6,47,"0,5","15,66666667","16,16666667","0,3439716312"
13887,female,06/05/2000,2000,18,insta_13887,2,47,1,"18,5","19,5","0,414893617"
3611,female,24/11/1999,1999,18,insta_3611,22,48,"0,6818181818","8,136363636","8,818181818","0,1837121212"
5262,female,30/06/1999,1999,18,insta_5262,11,48,"0,1818181818","10,09090909","10,27272727","0,2140151515"
6287,female,07/08/1999,1999,18,insta_6287,7,49,"1,714285714",5,"6,714285714","0,1370262391"
6360,female,26/08/1999,1999,18,insta_6360,100,50,"1,3","10,29","11,59","0,2318"
10810,female,11/07/1999,1999,18,insta_10810,4,50,"4,75","43,5","48,25","0,965"
12665,female,10/11/1999,1999,18,insta_12665,37,53,"0,1351351351","13,7027027","13,83783784","0,26109128"
1726,female,10/11/1999,1999,18,insta_1726,18,54,"1,277777778","10,83333333","12,11111111","0,2242798354"
3784,female,07/12/1999,1999,18,insta_3784,17,54,"0,2941176471","17,41176471","17,70588235","0,3278867102"
12683,female,18/11/1999,1999,18,insta_12683,1,54,0,2,2,"0,03703703704"
3119,female,22/07/1999,1999,18,insta_3119,92,56,"0,6739130435","10,02173913","10,69565217","0,1909937888"
3405,female,22/11/1999,1999,18,insta_3405,28,56,"0,2142857143","6,107142857","6,321428571","0,1128826531"
6307,female,25/08/1999,1999,18,insta_6307,100,57,"1,36","28,75","30,11","0,528245614"
6058,female,19/08/1999,1999,18,insta_6058,1,58,3,28,31,"0,5344827586"
8253,female,13/10/1999,1999,18,insta_8253,1,59,0,75,75,"1,271186441"
2483,female,14/12/1999,1999,18,insta_2483,29,60,"1,344827586","34,65517241",36,"0,6"
2868,female,05/12/1999,1999,18,insta_2868,4,60,"1,5","20,5",22,"0,3666666667"
1769,female,12/12/1999,1999,18,insta_1769,48,61,"1,791666667","46,60416667","48,39583333","0,7933743169"
12704,female,02/09/1999,1999,18,insta_12704,1,61,0,2,2,"0,03278688525"
6316,female,17/08/1999,1999,18,insta_6316,100,62,"0,13","4,18","4,31","0,06951612903"
11949,female,07/10/1999,1999,18,insta_11949,8,66,"0,125","5,75","5,875","0,08901515152"
12245,female,06/09/1999,1999,18,insta_12245,36,66,"0,7222222222","34,94444444","35,66666667","0,5404040404"
11842,female,02/08/1999,1999,18,insta_11842,5,67,"2,4","37,6",40,"0,5970149254"
5476,female,29/12/1999,1999,18,insta_5476,27,68,"1,074074074","29,14814815","30,22222222","0,4444444444"
4357,female,10/07/1999,1999,18,insta_4357,18,69,"0,2222222222","11,05555556","11,27777778","0,1634460548"
7465,female,05/10/1999,1999,18,insta_7465,24,69,"3,583333333","16,54166667","20,125","0,2916666667"
14930,female,13/08/1999,1999,18,insta_14930,16,71,1,"40,4375","41,4375","0,5836267606"
3445,female,25/07/1999,1999,18,insta_3445,41,73,"0,1707317073","7,634146341","7,804878049","0,1069161377"
1972,female,18/06/1999,1999,18,insta_1972,43,76,"0,4418604651","16,51162791","16,95348837","0,2230722154"
4742,female,01/08/1999,1999,18,insta_4742,7,76,"5,285714286",55,"60,28571429","0,7932330827"
15619,female,14/03/2000,2000,18,insta_15619,2,76,0,"14,5","14,5","0,1907894737"
11620,female,25/08/1999,1999,18,insta_11620,3,77,"0,3333333333",15,"15,33333333","0,1991341991"
9708,female,14/11/1999,1999,18,insta_9708,4,80,"0,25",63,"63,25","0,790625"
13128,female,02/04/2000,2000,18,insta_13128,5,80,"1,2","31,6","32,8","0,41"
14999,female,18/06/1999,1999,18,insta_14999,71,80,"0,02816901408","5,464788732","5,492957746","0,06866197183"
4359,female,30/12/1999,1999,18,insta_4359,4,81,"2,25","112,25","114,5","1,413580247"
8417,female,09/06/1999,1999,18,insta_8417,9,82,"1,555555556",34,"35,55555556","0,433604336"
5463,female,23/08/1999,1999,18,insta_5463,5,83,"3,4","25,6",29,"0,3493975904"
12222,female,30/10/1999,1999,18,insta_12222,31,84,"0,6451612903","14,38709677","15,03225806","0,1789554531"
1072,female,16/10/1999,1999,18,insta_1072,19,88,"1,684210526","28,15789474","29,84210526","0,3391148325"
8268,female,14/06/1999,1999,18,insta_8268,9,88,"0,5555555556","15,55555556","16,11111111","0,1830808081"
11763,female,17/06/1999,1999,18,insta_11763,3,89,"1,666666667","47,66666667","49,33333333","0,5543071161"
9675,female,12/06/1999,1999,18,insta_9675,16,90,"0,6875","16,125","16,8125","0,1868055556"
10026,female,03/12/1999,1999,18,insta_10026,42,90,"0,3333333333","12,21428571","12,54761905","0,1394179894"
3757,female,30/07/1999,1999,18,insta_3757,16,93,"0,625","31,875","32,5","0,3494623656"
11321,female,13/11/1999,1999,18,insta_11321,5,93,"0,4","11,6",12,"0,1290322581"
16150,female,29/06/1999,1999,18,insta_16150,13,95,"0,1538461538","16,38461538","16,53846154","0,1740890688"
7503,female,31/07/1999,1999,18,insta_7503,48,96,"0,7291666667","14,72916667","15,45833333","0,1610243056"
12530,female,29/11/1999,1999,18,insta_12530,2,96,"2,5",22,"24,5","0,2552083333"
5563,female,14/08/1999,1999,18,insta_5563,14,98,"3,785714286","54,5","58,28571429","0,5947521866"
8281,female,16/11/1999,1999,18,insta_8281,34,105,"0,9411764706","32,26470588","33,20588235","0,3162464986"
11616,male,04/11/1999,1999,18,insta_11616,2,108,6,"32,5","38,5","0,3564814815"
8763,female,15/12/1999,1999,18,insta_8763,79,109,"1,746835443","35,48101266","37,2278481","0,3415398908"
2528,female,24/07/1999,1999,18,insta_2528,50,111,"1,8","22,92","24,72","0,2227027027"
12571,female,08/09/1999,1999,18,insta_12571,2,112,"1,5","13,5",15,"0,1339285714"
14580,female,29/04/2000,2000,18,insta_14580,23,112,1,"32,95652174","33,95652174","0,3031832298"
3925,female,18/06/1999,1999,18,insta_3925,5,114,"2,4","19,4","21,8","0,1912280702"
4009,female,16/10/1999,1999,18,insta_4009,12,115,"0,3333333333",19,"19,33333333","0,168115942"
956,female,06/10/1999,1999,18,insta_956,34,117,"0,8823529412","26,85294118","27,73529412","0,2370537959"
1018,female,18/06/1999,1999,18,insta_1018,4,117,"2,25","41,25","43,5","0,3717948718"
3468,female,27/08/1999,1999,18,insta_3468,100,124,"1,48","18,36","19,84","0,16"
8566,female,19/08/1999,1999,18,insta_8566,84,124,"2,178571429","15,54761905","17,72619048","0,142953149"
15306,female,15/10/1999,1999,18,insta_15306,1,126,2,37,39,"0,3095238095"
563,female,17/12/1999,1999,18,insta_563,41,127,"0,487804878","11,41463415","11,90243902","0,09371999232"
9310,female,17/10/1999,1999,18,insta_9310,44,127,"0,7727272727","25,34090909","26,11363636","0,205619184"
13631,female,26/04/2000,2000,18,insta_13631,2,127,0,42,42,"0,3307086614"
6693,female,24/07/1999,1999,18,insta_6693,74,128,"1,121621622","21,41891892","22,54054054","0,176097973"
10424,male,10/12/1999,1999,18,insta_10424,17,132,1,"12,35294118","13,35294118","0,1011586453"
1304,female,10/10/1999,1999,18,insta_1304,20,133,"0,5","39,6","40,1","0,3015037594"
577,male,10/12/1999,1999,18,insta_577,68,134,"0,3235294118","16,30882353","16,63235294","0,1241220369"
12618,female,04/11/1999,1999,18,insta_12618,4,135,"3,5","28,25","31,75","0,2351851852"
8582,female,25/09/1999,1999,18,insta_8582,3,136,"0,3333333333","10,33333333","10,66666667","0,07843137255"
8704,female,24/11/1999,1999,18,insta_8704,9,137,"1,555555556","28,22222222","29,77777778","0,2173560422"
4619,female,09/10/1999,1999,18,insta_4619,6,139,"0,8333333333","76,16666667",77,"0,5539568345"
8576,female,27/11/1999,1999,18,insta_8576,30,139,"2,7","24,93333333","27,63333333","0,1988009592"
12253,female,20/08/1999,1999,18,insta_12253,15,139,"10,46666667","65,13333333","75,6","0,5438848921"
7659,female,23/06/1999,1999,18,insta_7659,1,141,1,12,13,"0,09219858156"
3242,female,02/07/1999,1999,18,insta_3242,104,142,"3,336538462","24,25","27,58653846","0,1942713976"
5109,female,12/08/1999,1999,18,insta_5109,69,144,"1,710144928","33,20289855","34,91304348","0,2424516908"
1283,female,22/12/1999,1999,18,insta_1283,60,146,"1,966666667","44,75","46,71666667","0,3199771689"
10261,female,27/12/1999,1999,18,insta_10261,24,147,"0,2916666667","19,70833333",20,"0,1360544218"
3903,female,07/09/1999,1999,18,insta_3903,15,148,"1,933333333","24,2","26,13333333","0,1765765766"
10488,female,10/12/1999,1999,18,insta_10488,5,148,"5,8","43,6","49,4","0,3337837838"
14209,female,28/04/2000,2000,18,insta_14209,38,148,"2,736842105",25,"27,73684211","0,1874110953"
1551,female,21/08/1999,1999,18,insta_1551,100,151,"1,11","26,74","27,85","0,1844370861"
6043,female,01/10/1999,1999,18,insta_6043,100,151,"2,55","45,47","48,02","0,318013245"
5192,female,21/07/1999,1999,18,insta_5192,54,152,"2,074074074","23,33333333","25,40740741","0,1671539961"
11675,female,26/12/1999,1999,18,insta_11675,30,152,"4,133333333","30,6","34,73333333","0,2285087719"
1525,female,22/07/1999,1999,18,insta_1525,10,154,"0,6","52,8","53,4","0,3467532468"
1525,female,22/07/1999,1999,18,insta_1525,10,154,"0,6","52,8","53,4","0,3467532468"
3126,male,07/10/1999,1999,18,insta_3126,1,154,2,46,48,"0,3116883117"
12580,female,16/06/1999,1999,18,insta_12580,1,156,0,41,41,"0,2628205128"
13083,female,09/06/1999,1999,18,insta_13083,11,157,"0,2727272727","36,54545455","36,81818182","0,2345107122"
3333,female,22/12/1999,1999,18,insta_3333,8,158,5,"59,125","64,125","0,4058544304"
14518,female,14/06/1999,1999,18,insta_14518,15,160,"2,4","59,73333333","62,13333333","0,3883333333"
3827,female,29/10/1999,1999,18,insta_3827,1,163,0,31,31,"0,1901840491"
9731,female,25/08/1999,1999,18,insta_9731,63,163,"0,6666666667","12,50793651","13,17460317","0,08082578635"
2229,female,02/10/1999,1999,18,insta_2229,9,164,"5,777777778","50,66666667","56,44444444","0,3441734417"
6853,female,23/07/1999,1999,18,insta_6853,10,165,"8,1","40,3","48,4","0,2933333333"
4362,female,07/08/1999,1999,18,insta_4362,89,166,"0,7752808989","24,3258427","25,1011236","0,1512115879"
8670,female,26/10/1999,1999,18,insta_8670,2,167,11,53,64,"0,3832335329"
2796,female,24/10/1999,1999,18,insta_2796,76,168,"4,552631579","37,34210526","41,89473684","0,2493734336"
3052,female,09/09/1999,1999,18,insta_3052,72,170,"2,319444444","72,51388889","74,83333333","0,4401960784"
3709,female,24/10/1999,1999,18,insta_3709,68,170,"0,6323529412","21,38235294","22,01470588","0,1294982699"
9760,female,11/06/1999,1999,18,insta_9760,10,172,"0,3",25,"25,3","0,1470930233"
13703,female,26/01/2000,2000,18,insta_13703,100,176,"0,22","12,29","12,51","0,07107954545"
2607,female,21/06/1999,1999,18,insta_2607,9,178,"1,333333333","16,77777778","18,11111111","0,1017478152"
5516,female,15/10/1999,1999,18,insta_5516,5,180,"4,6","35,2","39,8","0,2211111111"
9755,female,13/07/1999,1999,18,insta_9755,100,180,"0,17","7,08","7,25","0,04027777778"
4849,female,06/11/1999,1999,18,insta_4849,13,182,"0,5384615385","22,53846154","23,07692308","0,1267962806"
7906,female,25/07/1999,1999,18,insta_7906,52,185,"0,9423076923","20,09615385","21,03846154","0,1137214137"
9494,female,21/09/1999,1999,18,insta_9494,1,187,47,64,111,"0,5935828877"
1806,female,09/06/1999,1999,18,insta_1806,17,188,"0,7647058824","64,94117647","65,70588235","0,3494993742"
1235,female,17/06/1999,1999,18,insta_1235,40,189,"2,575","74,225","76,8","0,4063492063"
15711,female,21/08/1999,1999,18,insta_15711,3,194,"5,333333333","48,66666667",54,"0,2783505155"
3977,female,24/06/1999,1999,18,insta_3977,9,197,"15,66666667",50,"65,66666667","0,3333333333"
15649,male,24/01/2000,2000,18,insta_15649,100,199,"0,53","15,37","15,9","0,07989949749"
9357,female,10/07/1999,1999,18,insta_9357,100,200,"1,32","35,21","36,53","0,18265"
5675,female,16/08/1999,1999,18,insta_5675,34,202,"0,5294117647","29,70588235","30,23529412","0,1496796738"
15914,female,30/03/2000,2000,18,insta_15914,23,202,"3,086956522","37,13043478","40,2173913","0,1990959966"
14751,female,20/06/1999,1999,18,insta_14751,3,204,0,"10,66666667","10,66666667","0,0522875817"
1300,female,01/11/1999,1999,18,insta_1300,100,206,"0,82","21,4","22,22","0,1078640777"
5068,female,14/08/1999,1999,18,insta_5068,1,207,9,49,58,"0,2801932367"
13328,female,27/05/2000,2000,18,insta_13328,9,207,"0,6666666667","14,55555556","15,22222222","0,07353730542"
2184,female,14/08/1999,1999,18,insta_2184,6,208,2,"22,5","24,5","0,1177884615"
12895,female,27/05/2000,2000,18,insta_12895,100,209,"0,9","19,94","20,84","0,09971291866"
921,female,28/12/1999,1999,18,insta_921,11,210,"4,363636364","50,63636364",55,"0,2619047619"
3388,female,26/07/1999,1999,18,insta_3388,2,213,"6,5","52,5",59,"0,2769953052"
8006,female,08/10/1999,1999,18,insta_8006,5,215,1,"30,4","31,4","0,1460465116"
2479,female,01/11/1999,1999,18,insta_2479,7,218,"0,8571428571","19,42857143","20,28571429","0,09305373526"
13448,male,21/02/2000,2000,18,insta_13448,33,218,"3,333333333","28,06060606","31,39393939","0,1440088963"
5194,female,07/11/1999,1999,18,insta_5194,41,220,"4,463414634","37,3902439","41,85365854","0,1902439024"
2659,female,21/07/1999,1999,18,insta_2659,57,222,"0,2105263158","11,56140351","11,77192982","0,05302671092"
7519,female,19/11/1999,1999,18,insta_7519,15,222,"6,666666667","46,6","53,26666667","0,2399399399"
3912,female,16/06/1999,1999,18,insta_3912,18,223,"1,444444444","33,66666667","35,11111111","0,1574489287"
3273,female,14/12/1999,1999,18,insta_3273,12,224,"7,75","83,58333333","91,33333333","0,4077380952"
4506,female,10/07/1999,1999,18,insta_4506,4,224,0,"9,5","9,5","0,04241071429"
13314,male,21/07/1999,1999,18,insta_13314,11,226,"4,181818182",82,"86,18181818","0,3813354787"
4168,female,25/08/1999,1999,18,insta_4168,6,233,"11,83333333",41,"52,83333333","0,2267525036"
15221,female,01/09/1999,1999,18,insta_15221,100,234,"1,66","24,85","26,51","0,1132905983"
12495,female,03/11/1999,1999,18,insta_12495,49,238,"7,183673469","48,55102041","55,73469388","0,234179386"
10774,female,28/07/1999,1999,18,insta_10774,13,240,0,"18,53846154","18,53846154","0,07724358974"
2963,female,20/11/1999,1999,18,insta_2963,2,241,0,49,49,"0,2033195021"
9014,female,28/06/1999,1999,18,insta_9014,100,241,2,"38,71","40,71","0,1689211618"
3811,female,28/09/1999,1999,18,insta_3811,7,242,12,"80,57142857","92,57142857","0,3825265643"
9515,female,27/08/1999,1999,18,insta_9515,24,242,"0,9583333333","19,5","20,45833333","0,08453856749"
590,female,13/06/1999,1999,18,insta_590,4,243,"6,5",42,"48,5","0,1995884774"
9847,female,25/11/1999,1999,18,insta_9847,44,245,"2,068181818","37,72727273","39,79545455","0,1624304267"
7701,female,30/12/1999,1999,18,insta_7701,32,247,"7,9375","97,25","105,1875","0,4258603239"
4497,female,16/09/1999,1999,18,insta_4497,2,248,"7,5","27,5",35,"0,1411290323"
12870,female,31/12/1999,1999,18,insta_12870,59,248,"0,5254237288","16,37288136","16,89830508","0,06813832695"
